local_citation,last_author,local_citation_up,last_author_publication_year,publication_year,global_reference,global_citation,name,Abstract,local_reference,Strength,Reaction Type,X,Y,ID,Journal,Reaction,Journal_Title,Authors,Title
12,"Jarvo, ER.",24,"Jarvo, ER. 2013",2013,60,202,10.1021/ja311783k,"Stereospecific coupling of benzylic carbamates and pivalates with aryl- and heteroarylboronic esters has been developed. The reaction proceeds with selective inversion or retention at the electrophilic carbon, depending on the nature of the ligand. Tricyclohexylphosphine ligand provides the product with retention, while an N-heterocyclic carbene ligand provides the product with inversion.",3,Inert,B,901.2132871824288,-306.0763525,0,JL1-099,O=C(OC(C)(C)C)O[C@@H](C1=CC=CC=C1)C2=CC3=CC=CC=C3C=C2.CC(CO1)(C)COB1C2=CC=C(C)C=C2>>O=C(OC(C)(C)C)O[C@@H](C1=CC=CC=C1)C2=CC3=CC=CC=C3C=C2,J. Am. Chem. Soc.,"Michael R. Harris, Luke E. Hanna, Margaret A. Greene, Curtis E. Moore, Elizabeth R. Jarvo",Retention or Inversion in Stereospecific Nickel-Catalyzed Cross-Coupling of Benzylic Carbamates with Arylboronic Esters: Control of Absolute Stereochemistry with an Achiral Catalyst
25,"Shi, ZJ.",50,"Shi, ZJ. 2008",2008,26,170,10.1021/ja710944j,"This article demonstrates the first cross coupling of benzyl ether with Grignard reagents via Ni-catalyzed benzylic sp3 C? O activation with high efficiency and excellent chemoselectivity. Benzylic sp3 C? O and aryl sp2 C? O were differentiated, controlled by ligands.",8,Inert,Mg,328.40205948721643,-156.211142,1,JL1-107,COCC1=CC2=CC=CC=C2C=C1.Br[Mg]C>>CCC1=CC2=CC=CC=C2C=C1,J. Am. Chem. Soc.,"Bing-Tao Guan, Shi-Kai Xiang, Bi-Qin Wang, Zuo-Peng Sun, Yang Wang, Ke-Qing Zhao, Zhang-Jie Shi",Direct Benzylic Alkylation via Ni-Catalyzed Selective Benzylic sp<sup>3</sup> C−O Activation
40,"Dankwardt, JW.",80,"Dankwardt, JW. 2004",2004,24,242,10.1002/anie.200453765,No Abstarct,1,Inert,Mg,152.02822695433355,-251.76127,2,JL1-026,COC1=CC2=C(C=C1)CCCC2.CC1=CC=C([Mg]Br)C=C1>>CC1=CC=C(C2=CC3=C(CCCC3)C=C2)C=C1,Angew Chem Int Ed,John W. Dankwardt,Nickel‐Catalyzed Cross‐Coupling of Aryl Grignard Reagents with Aromatic Alkyl Ethers: An Efficient Synthesis of Unsymmetrical Biaryls
13,"Chatani, N.",26,"Chatani, N. 2015",2015,76,100,10.1021/ol503707m,A new cross-coupling reaction has been developed for the introduction of an alkyne moiety to an anisole derivative through C–O bond activation using an NHC ligand. This method has been used for direct alkynylation of a broad range of anisole derivatives and provided rapid access to compounds with potential applications in biological and materials science.,17,Inert,Mg,986.9519246181871,-335.1822297,3,JL2-074,CC(C1=CC=C(OC)C=C1)(C)C.CC([Si](C#C[Mg]Br)(C(C)C)C(C)C)C>>CC(C1=CC=C(C#C[Si](C(C)C)(C(C)C)C(C)C)C=C1)(C)C,Org. Lett.,"Mamoru Tobisu, Tsuyoshi Takahira, Akimichi Ohtsuki, Naoto Chatani",Nickel-Catalyzed Alkynylation of Anisoles via C–O Bond Cleavage
21,"Shi, ZJ.",42,"Shi, ZJ. 2010",2010,45,149,10.1002/anie.200907359,"The first successful coupling reaction with the direct application of naphtholates as electrophiles (see scheme, X=halide) improves both the step economy and atom economy of cross‐coupling reactions whilst decreasing the cost of preparing complex scaffolds from readily available phenol derivatives.",9,Inert,Mg,676.6058895931008,-311.2140012,4,JL1-030,[Li]OC1=CC=C2C=CC=CC2=C1.Br[Mg]C1=CC=CC=C1>>C1(C2=CC(C=CC=C3)=C3C=C2)=CC=CC=C1,Angew Chem Int Ed,"Da‐Gang Yu, Bi‐Jie Li, Shu‐Fang Zheng, Bing‐Tao Guan, Bi‐Qing Wang, Zhang‐Jie Shi",Direct Application of Phenolic Salts to Nickel‐Catalyzed Cross‐Coupling Reactions with Aryl Grignard Reagents
37,"Snieckus, V.",74,"Snieckus, V. 2009",2009,63,203,10.1021/ja907700e,A new cross-coupling reaction has been developed for the introduction of an alkyne moiety to an anisole derivative through C–O bond activation using an NHC ligand. This method has been used for direct alkynylation of a broad range of anisole derivatives and provided rapid access to compounds with potential applications in biological and materials science.,11,Inert,B,567.5620698035664,-242.9287585,5,JL1-113,O=C(N(CC)CC)OC1=CC=CC2=CC=CC=C21.B1(C2=CC=CC=C2)OB(C3=CC=CC=C3)OB(C4=CC=CC=C4)O1>>C12=CC=CC=C1C(C3=CC=CC=C3)=CC=C2,J. Am. Chem. Soc.,"Aurora Antoft-Finch, Tom Blackburn, Victor Snieckus","<i>N</i>,<i>N-</i>Diethyl<i>O-</i>Carbamate: Directed Metalation Group and Orthogonal Suzuki−Miyaura Cross-Coupling Partner"
39,"Garg, NK.",78,"Garg, NK. 2009",2009,28,272,10.1021/ja906477r,"The first Suzuki? Miyaura cross-couplings of carbamates, carbonates, and sulfamates is described. The method provides a powerful means of using simple derivatives of phenol as precursors to polysubstituted aromatic compounds, as exemplified by a concise synthesis of the anti-inflammatory drug flurbiprofen.",6,Inert,B,494.7778390283835,-257.0607291,6,JL1-112,O=C(OC1=CC=CC2=CC=CC=C21)N(CC)CC.OB(C1=CC=C(OC)C=C1)O>>COC(C=C1)=CC=C1C2=CC=CC3=CC=CC=C32,J. Am. Chem. Soc.,"Kyle W. Quasdorf, Michelle Riener, Krastina V. Petrova, Neil K. Garg","Suzuki−Miyaura Coupling of Aryl Carbamates, Carbonates, and Sulfamates"
30,"Shi, ZJ.",60,"Shi, ZJ. 2008",2008,27,187,10.1039/b718998b,Aryl C–O and C–F can be transformed into C–Me viaNi-catalyzed coupling with MeMgBr under mild conditions.,1,Inert,Mg,328.53352411669874,-212.7603349,7,JL1-062,COC1=CC2=CC=CC=C2C=C1.Br[Mg]C>>CC1=CC2=CC=CC=C2C=C1,Chem. Commun.,"Bing-Tao Guan, Shi-Kai Xiang, Tao Wu, Zuo-Peng Sun, Bi-Qin Wang, Ke-Qing Zhao, Zhang-Jie Shi",Methylation of arenes via Ni-catalyzed aryl C–O/F activation
20,"Chatani, N.",40,"Chatani, N. 2009",2009,31,104,10.1021/ol901978e,The Ni(0)-catalyzed cross-coupling of alkenyl methyl ethers with boronic esters is described. Several types of alkenyl methyl ethers can be coupled with a wide range of boronic esters to give the stilbene derivatives.,8,Inert,B,539.7608516583914,-358.9620685,8,No Journal,No Reaction,Org. Lett.,"Toshiaki Shimasaki, Yuko Konno, Mamoru Tobisu, Naoto Chatani",Nickel-Catalyzed Cross-Coupling Reaction of Alkenyl Methyl Ethers with Aryl Boronic Esters
38,"Hu, QS.",76,"Hu, QS. 2004",2004,32,232,10.1021/ja038752r,"Room-temperature Ni (0)-catalyzed cross-coupling reactions of aryl arenesulfonates with arylboronic acids are described. The Ni (0) catalyst, derived from Ni (COD) 2 and PCy3, proved to be a general one for the Suzuki? Miyaura cross-coupling of a variety of aryl arenesulfonates. The mild reaction condition, the readily availability of the catalyst, and excellent coupling yields make aryl arenesulfonates potentially useful substrates in organic synthesis.",3,Weak/Medium,B,152.34311262928568,-70.07317245,9,JL1-088,CC1=CC=C(OS(C2=CC=C(C)C=C2)(=O)=O)C=C1.OB(O)C1=CC=CC=C1>>CC1=CC=C(C2=CC=CC=C2)C=C1,J. Am. Chem. Soc.,"Zhen-Yu Tang, Qiao-Sheng Hu",Room-Temperature Ni(0)-Catalyzed Cross-Coupling Reactions of Aryl Arenesulfonates with Arylboronic Acids
