local_citation,last_author,local_citation_up,last_author_publication_year,publication_year,global_reference,global_citation,name,local_reference,Strength,Reaction Type,X,Y,ID
12,"Jarvo, ER.",24,"Jarvo, ER. 2013",2013,60,202,10.1021/ja311783k,3,Inert,B,901.2132871824288,-306.07635254723766,0
25,"Shi, ZJ.",50,"Shi, ZJ. 2008",2008,26,170,10.1021/ja710944j,8,Inert,Mg,328.40205948721643,-156.2111419783162,1
40,"Dankwardt, JW.",80,"Dankwardt, JW. 2004",2004,24,242,10.1002/anie.200453765,1,Inert,Mg,152.02822695433355,-251.76127003871758,2
13,"Chatani, N.",26,"Chatani, N. 2015",2015,76,100,10.1021/ol503707m,17,Inert,Mg,986.9519246181871,-335.1822297111802,3
21,"Shi, ZJ.",42,"Shi, ZJ. 2010",2010,45,149,10.1002/anie.200907359,9,Inert,Mg,676.6058895931008,-311.2140012296387,4
37,"Snieckus, V.",74,"Snieckus, V. 2009",2009,63,203,10.1021/ja907700e,11,Inert,B,567.5620698035664,-242.92875852978432,5
39,"Garg, NK.",78,"Garg, NK. 2009",2009,28,272,10.1021/ja906477r,6,Inert,B,494.7778390283835,-257.06072913546046,6
30,"Shi, ZJ.",60,"Shi, ZJ. 2008",2008,27,187,10.1039/b718998b,1,Inert,Mg,328.53352411669874,-212.76033490237302,7
20,"Chatani, N.",40,"Chatani, N. 2009",2009,31,104,10.1021/ol901978e,8,Inert,B,539.7608516583914,-358.9620684994874,8
38,"Hu, QS.",76,"Hu, QS. 2004",2004,32,232,10.1021/ja038752r,3,Weak/Medium,B,152.34311262928568,-70.0731724503022,9
16,"Nakamura, E.",32,"Nakamura, E. 2009",2009,65,255,10.1021/ja903091g,14,Inert,Mg,493.39360295319136,-208.5413772949083,10
24,"Liu, L.",48,"Liu, L. 2009",2009,72,251,10.1021/ja810157e,8,Inert,B,538.8856603973086,-307.708881313127,11
12,"Doi, T.",24,"Doi, T. 2009",2009,87,140,10.1002/ejoc.200900067,12,Weak/Medium,B,493.38434945125357,-153.74052535809938,12
18,"Stanciu, C.",36,"Stanciu, C. 2009",2009,47,96,10.1002/anie.200900329,9,Inert,B,563.680109319886,-178.51038659121681,13
56,"Shi, ZJ.",112,"Shi, ZJ. 2008",2008,33,330,10.1021/ja8056503,5,Inert,B,372.9545360212601,-328.6584629540712,14
24,"Shi, ZJ.",48,"Shi, ZJ. 2008",2008,72,160,10.1002/anie.200803814,9,Inert,Zn,329.3226078953631,-268.17782024870496,15
58,"Garg, NK.",116,"Garg, NK. 2008",2008,19,328,10.1021/ja806244b,4,Inert,B,404.2194762706717,-178.01526995402006,16
33,"Monteiro, AL.",66,"Monteiro, AL. 2001",2001,16,282,10.1021/ol016526l,2,Weak/Medium,B,77.80795476768604,-1.870111728717935,17
24,"Weichold, O.",48,"Weichold, O. 2004",2004,55,221,10.1021/jo049940i,1,Inert,B,151.33430420665502,-18.85156478165539,18
16,"Itami, K.",32,"Itami, K. 2012",2012,89,309,10.1021/ja210249h,14,Inert,H,833.464233409685,-334.8176155181368,19
32,"Hill, DH.",64,"Hill, DH. 1995",1995,50,282,10.1021/jo00109a044,0,Weak/Medium,B,-44.21479657269965,-70.00056928987131,20
59,"Chatani, N.",118,"Chatani, N. 2008",2008,41,354,10.1002/anie.200801447,4,Inert,B,405.54365735324296,-248.03966533837652,21
28,"Garg, NK.",56,"Garg, NK. 2011",2011,120,265,10.1021/ja200398c,16,Inert,B,756.8301589175228,-263.0222845702342,22
13,"Watson, MP.",26,"Watson, MP. 2013",2013,44,216,10.1021/ja312087x,9,Inert,B,902.5616964682488,-364.54399887291913,23
12,"Mizojiri, R.",24,"Mizojiri, R. 1996",1996,28,88,10.1016/0040-4039(96)01984-3,2,Weak/Medium,B,20.945078157869325,-52.791154149406715,24
12,"Wang, ZX.",24,"Wang, ZX. 2011",2011,34,88,10.1002/chem.201003731,13,Inert,Mg,756.7400842311313,-311.13523785107293,25
16,"Kappe, CO.",32,"Kappe, CO. 2011",2011,42,117,10.1021/jo1024464,19,Inert,B,756.2791272739164,-213.16175189675295,26
20,"Jarvo, ER.",40,"Jarvo, ER. 2011",2011,50,175,10.1021/ja108547u,2,Inert,Mg,756.1836629222869,-365.49918102615857,27
42,"Swindell, CS.",84,"Swindell, CS. 1979",1979,8,349,10.1021/ja00502a074,1,Inert,Mg,-160.41383563740425,-254.21557057529574,28
13,"Shi, ZJ.",26,"Shi, ZJ. 2011",2011,63,135,10.1002/anie.201101461,21,Inert,B,754.0131770898952,-163.50692991835191,29
13,"Beaumard, F.",26,"Beaumard, F. 2010",2010,31,106,10.1021/ol101592r,15,Weak/Medium,B,675.6020002077807,-195.60535336474456,30
23,"Shi, ZJ.",46,"Shi, ZJ. 2010",2010,50,140,10.1021/ol9029534,13,Inert,B,676.144072968571,-239.82253777802785,31
